,name,norm,1Ub_PS,1Ub_base,1Ub_h1,1Ub_hx,1Uc_PS,1Uc_base,1Uc_h1,1Uc_hx,1Ip_PS,1Ip_base,1Ip_h1,1Ip_hx,1Iz_PS,1Iz_base,1Iz_h1,1Iz_hx,2Ub_PS,2Ub_base,2Ub_h1,2Ub_hx,2Uc_PS,2Uc_base,2Uc_h1,2Uc_hx,2Ip_PS,2Ip_base,2Ip_h1,2Ip_hx,2Iz_PS,2Iz_base,2Iz_h1,2Iz_hx,3Ub_PS,3Ub_base,3Ub_h1,3Ub_hx,3Uc_PS,3Uc_base,3Uc_h1,3Uc_hx,3Ip_PS,3Ip_base,3Ip_h1,3Ip_hx,3Iz_PS,3Iz_base,3Iz_h1,3Iz_hx,4Ub_PS,4Ub_base,4Ub_h1,4Ub_hx,4Ip_PS,4Ip_base,4Ip_h1,4Ip_hx,4Iz_PS,4Iz_base,4Iz_h1,4Iz_hx,5Ip_PS,5Ip_base,5Ip_h1,5Ip_hx,5Iz_PS,5Iz_base,5Iz_h1,5Iz_hx,6Ip_PS,6Ip_base,6Ip_h1,6Ip_hx,6Iz_PS,6Iz_base,6Iz_h1,6Iz_hx,dId_PS,dId_base,dId_h1
1475,365149849ab0792552b9e0c9368d63ee,НЕТ,s,100,88.74756003492028,1.5572344075180165,s,400,345.5313862078907,34.58861161305823,s,5,0.1091708036228497,0.0337840419677721,,,,,s,100,89.2491960019376,1.363739633269634,s,400,342.17371175512767,44.18887558438706,p,?1,0.0303425546556288,0.0147916213370728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,3651d9f2468d63f4b8de9ed9502a9c32,ДА,s,100,84.5684533851067,1.7140741604622554,,,,,s,5,2.490204985487141,0.5955283592904589,,,,,s,100,150.09719802198134,76.28744297624364,,,,,s,5,0.7280878568777274,0.2482222366276989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,3664f95c99b50d35127f22f39defe87f,ДА,s,100,83.59412608338694,15.793546344466018,s,100,95.59587878056938,18.16795915147013,s,5,1.884078025575016,0.8820610471221382,,,,,s,100,84.50455594738567,6.348407801730062,s,100,92.78127011616446,7.0447864292126186,s,5,4.818563574949422,0.977804343928378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,36668710d30db02441ef1ffffac404b6,ДА,s,100,85.58790322160598,1.63769773232207,,,,,s,5,2.238580579665569,0.6888708667532453,,,,,s,100,85.25560928577052,1.6458039283744148,,,,,s,5,2.251717456788624,0.7389204090695954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,3670d144eec9f276d615de95cd849c76,ДА,s,100,88.07614793142564,46.77309419627667,,,,,s,5,0.1906239942326447,0.0824092329892011,,,,,s,100,86.69347515311112,9.72681740826857,,,,,s,5,11.072503006401258,5.39927019819212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,3679bd819d7e86f3d6144a828d2b4f4f,ДА,s,100,94.70898756701888,30.49884814579681,,,,,s,5,2.144912437678192,0.6947054503281432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,3680cd6f0d4af5090a6e05f21e35d211,НЕТ,s,?2,73.01301322701252,64.4685189798052,,,,,s,шум,0.004478231620903,0.0054198793233095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,3690bbd4813d16d09cd251342559ae4c,хз,s,100,141.43045761483037,0.0284363996120678,s,100,141.42912002280465,0.0273683322624534,s,5,7.074393972794579,0.0093486420231145,s,шум,7.090621210348975,0.006494729886642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,3694f5bdf40cf4c0ce3a5182b17c5f13,хз,s,100,141.4379154634448,0.0386479069154679,s,100,141.4362322261501,0.0336199088090598,s,5,7.073657834552594,0.008764054459716,s,шум,7.084492778997133,0.0058121754538771,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,369dc2fd9979dafd40b87d956edc2a29,ДА,s,100,83.34148409524849,1.5697595608684476,,,,,s,5,0.0958440900498292,0.011381179340286,,,,,s,100,83.81993122139494,1.5757193467355832,,,,,s,5,0.0793640044927769,0.0147138586128006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
