file_name,IA,IC,UA BB,UB BB,UC BB,UN BB
ffcacf44cae74848751247458c0c039d_Bus 1,-0.2113499939441681,0.14673399925231934,-80.75627136230469,15.447381973266602,64.78401947021484,-0.29274699091911316
ffcacf44cae74848751247458c0c039d_Bus 1,-0.16532500088214874,0.1743129938840866,-73.81997680664062,-0.5464280247688293,73.8733139038086,-0.2762329876422882
ffcacf44cae74848751247458c0c039d_Bus 1,-0.16532500088214874,0.20189200341701508,-63.927490234375,-17.508548736572266,80.9794921875,-0.29274699091911316
ffcacf44cae74848751247458c0c039d_Bus 1,-0.12850500643253326,0.22947099804878235,-50.302616119384766,-35.20524978637695,85.09446716308594,-0.25971901416778564
ffcacf44cae74848751247458c0c039d_Bus 1,-0.11009500175714493,0.22947099804878235,-34.71245574951172,-50.39769744873047,84.73089599609375,-0.19366300106048584
ffcacf44cae74848751247458c0c039d_Bus 1,-0.09168499708175659,0.22027799487113953,-20.52606964111328,-62.0675048828125,82.28504943847656,-0.19366300106048584
ffcacf44cae74848751247458c0c039d_Bus 1,-0.018045000731945038,0.20189200341701508,-5.447875022888184,-71.14958190917969,76.36874389648438,-0.14412100613117218
ffcacf44cae74848751247458c0c039d_Bus 1,0.03718499839305878,0.1743129938840866,10.703795433044434,-78.42860412597656,67.6099624633789,-0.06155100092291832
ffcacf44cae74848751247458c0c039d_Bus 1,0.03718499839305878,0.1375409960746765,28.374845504760742,-84.02143096923828,55.56250762939453,-0.04503700137138367
ffcacf44cae74848751247458c0c039d_Bus 1,0.10162000358104706,0.11915499716997147,45.137569427490234,-84.95634460449219,39.82975769042969,0.037533000111579895
ffcacf44cae74848751247458c0c039d_Bus 1,0.1200300008058548,0.10076899826526642,58.33305358886719,-83.35363006591797,25.12161636352539,0.0705609992146492
ffcacf44cae74848751247458c0c039d_Bus 1,0.15684999525547028,0.06399700045585632,68.57235717773438,-78.8793716430664,10.496106147766113,0.12010300159454346
ffcacf44cae74848751247458c0c039d_Bus 1,0.18446500599384308,-0.0003539999888744205,76.74727630615234,-70.81568145751953,-5.68284797668457,0.15313099324703217
ffcacf44cae74848751247458c0c039d_Bus 1,0.19367000460624695,-0.027932999655604362,82.98995208740234,-59.88045883178711,-22.803783416748047,0.18615899980068207
ffcacf44cae74848751247458c0c039d_Bus 1,0.2120800018310547,-0.08309099823236465,85.15341186523438,-44.67131423950195,-40.08998107910156,0.26872900128364563
