1,0,-37,35,-4040.9999999999995,-833,4854,-16,-13,11,-3987.0000000000005,-986.0000000000001,4972,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2,625,-36,42,-3235,-1915,5143,-15,-12,16,-3154,-2075,5227,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
3,1250,-36,53,-2276,-2879,5165,-11,-14,23,-2252,-2979,5230,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4,1875,-35,60,-1388,-3623,5032,-8,-12,23,-1407,-3665,5075,-1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
5,2500,-26,57.99999999999999,-484,-4207,4723,-7,-7,21,-439,-4301,4737,-3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
6,3125,-10,43,462,-4664,4244,-5,0,14,591,-4809,4213,-7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
7,3750,0,38,1506,-5007,3550,-2,0,12,1682,-5170,3473,-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
8,4375,11,37,2572,-5121,2606,0,7,14,2673,-5241,2549,-14,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
9,5000,20,36,3424,-5047,1681,2,9,14,3454,-5151,1673,-16,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
10,5625,29,30,4077.0000000000005,-4811,793,4,12,13,4098,-4897,776,-16,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
11,6250,30.999999999999996,18,4596,-4381,-157,6,10,5,4667,-4427,-266,-14,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
12,6875,36,2,4983,-3768,-1160,9,11,2,5083,-3775,-1328,-10,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
13,7500,45,-8,5177,-2878,-2249,9,17,-2,5220,-2862,-2374,-7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
14,8125,52,-18,5140,-1939.9999999999998,-3152,12,22,-5,5179,-1957,-3230,-4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
15,8750,57,-25,4958,-1070,-3849,13,22,-8,4975,-1097,-3878,-2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
16,9375,51,-28.999999999999996,4588,-140,-4416,14,17,-9,4569,-68,-4501,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
17,10000,39,-33,4043.0000000000005,830,-4851,14,14,-10,3988,988.0000000000001,-4973,-1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
18,10625,37,-40,3239,1913,-5143,13,15,-15,3153,2071,-5222,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
19,11250,35,-51,2279,2878,-5165,12,15,-21,2254,2975,-5231,-2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
20,11875,35,-57.99999999999999,1393,3624,-5033,8,12,-21,1407,3666,-5075,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
21,12500,27,-56.99999999999999,487,4207,-4724,7,9,-19,436,4304,-4738,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
22,13125,11,-40,-467,4670,-4243,5,3,-12,-600,4814,-4211,6,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
23,13750,1,-36,-1516,5014,-3546,2,2,-10,-1688,5171,-3474,11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
24,14375,-10,-35,-2579,5125,-2598,-1,-4,-13,-2680,5243,-2548,14,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
25,15000,-19,-34,-3426,5049,-1678,-3,-8,-13,-3460,5147,-1670,14,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
