1,0,2,0,5238,-2661,-2515,18,108,-15,5232,-2691,-2521,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,625,-1,1,5121,-1626,-3442,19,123.99999999999999,-38,5114,-1645,-3445,13,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1250,0,1,4890,-784,-4060.9999999999995,19,131,-53,4884,-793,-4063.0000000000005,18,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1875,0,1,4479,83,-4526,19,117,-61,4473,84,-4527,17,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,2500,0,0,3925.9999999999995,1044,-4944,16,92,-76,3919,1051,-4946,15.000000000000002,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,3125,0,1,3043,2174,-5213,12,93,-102,3038,2194,-5212,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
7,3750,0,0,1969,3173,-5156,9,89,-125,1964,3202,-5155,8,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8,4375,1,1,1075,3865,-4967,5,83,-134,1069,3900.9999999999995,-4966,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
9,5000,1,2,238,4346,-4623,2,66,-130,232,4387,-4619,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
10,5625,-1,1,-687,4765,-4126,-1,33,-101,-692,4812,-4122,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
11,6250,1,0,-1782,5105,-3381,-3,4,-91,-1782,5156,-3376,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
12,6875,1,0,-2876,5141,-2329,-8,-24,-89,-2877,5194,-2320,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
