1,0,-49,155,497.99999999999994,-4718,4260,-5,1,2,500.00000000000006,-4763,4255,-9,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,625,-6.999999999999999,136,1499,-5002,3550,-2,-1,1,1497,-5052,3544,-10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1250,27,138,2608,-5078,2524,2,1,0,2605,-5130,2515,-7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,1875,63,128,3458,-5003,1603,6,1,1,3454,-5054,1594,-5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,2500,90,111.99999999999999,4112,-4759,708,6,-1,1,4106,-4810,698,-4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6,3125,97,76,4652,-4357,-230,12,1,1,4643,-4405,-240,-1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
7,3750,116,19,4996,-3780,-1151,15,2,1,4986,-3820,-1158,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
8,4375,150,-13,5136,-2822,-2257,15,1,2,5127,-2851,-2263,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9,5000,175,-50,5107,-1858,-3195,19,0,2,5099,-1878,-3198,16,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10,5625,191,-76,4914,-986.0000000000001,-3879.0000000000005,22,1,-1,4907,-995.9999999999999,-3880.0000000000005,21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11,6250,178,-92,4559,-69,-4450,21,1,1,4550,-70,-4450,17,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
12,6875,129,-107,4068.0000000000005,829,-4866,20,1,1,4060.0000000000005,836,-4864,17,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
13,7500,130,-136,3193,1916,-5095,17,2,0,3186,1934,-5092,15.000000000000002,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14,8125,129,-170,2189,2926,-5115,12,1,1,2181,2952,-5114,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15,8750,116.99999999999999,-191,1316,3654,-4986,13,2,2,1310,3688,-4984,11,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
16,9375,97,-192,416,4242,-4685,9,1,1,411,4282,-4682,9,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
17,10000,51,-153,-501.99999999999994,4719,-4255,6,1,1,-507.00000000000006,4765,-4250,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
18,10625,8,-133,-1500,5007,-3553,3,1,1,-1502,5056,-3544,10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
19,11250,-26,-136,-2601,5076,-2527,0,2,2,-2601,5126,-2517,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,11875,-60.00000000000001,-125,-3456,5005,-1610,-6,2,2,-3451,5057,-1597,6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
21,12500,-87,-110.00000000000001,-4110,4761,-712,-7,1,1,-4105,4811,-702,6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
22,13125,-96,-74,-4644,4357,226,-12,1,1,-4640,4405,234,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
23,13750,-116.99999999999999,-18,-4983,3777,1141,-15,1,1,-4977,3818,1148,-5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
24,14375,-148,16,-5130,2811,2263,-16,1,1,-5125,2840,2268,-8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
25,15000,-174,50,-5103,1854,3196,-19,0,1,-5095,1875,3198,-15,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
26,15625,-189,79,-4909,982,3880,-21,1,2,-4903,991,3882,-18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
27,16250,-177,94,-4553,58,4457,-21,2,2,-4547,59,4457,-19,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
28,16875,-132,109.00000000000001,-4059.0000000000005,-847,4880,-20,0,1,-4056.0000000000005,-856,4880,-17,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
29,17500,-130,139,-3191,-1916,5093,-18,0,0,-3186,-1934,5093,-15,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
30,18125,-128,173,-2193,-2920,5115,-14,0,0,-2188,-2948,5116,-10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
31,18750,-116.99999999999999,196,-1322,-3646,4984,-11,1,1,-1318,-3682,4983,-7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
32,19375,-95,195,-422,-4238,4685,-10,1,1,-417,-4278,4683,-10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
33,20000,-50,156,490.00000000000006,-4708,4257,-5,0,2,490,-4755,4253,-8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
34,20625,-6,136,1487,-4994,3553,-1,0,1,1485,-5044,3547,-9,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
35,21250,26,138,2602,-5071,2525,1,1,0,2599,-5123,2517,-8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
36,21875,60.00000000000001,128,3457,-4998,1601,5,0,1,3452,-5050,1591,-6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
37,22500,88,110.00000000000001,4108,-4756,708,7,0,1,4104,-4807,698,-5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
38,23125,96,77,4648,-4353,-232,11,0,1,4642,-4401,-240,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
39,23750,114,20,4997,-3776,-1156,14,1,0,4986,-3815,-1163,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
40,24375,147,-13.999999999999998,5132,-2814,-2259,17,2,1,5124,-2844,-2263,9,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
41,25000,173,-49,5105,-1860,-3190,19,1,1,5097,-1879,-3191,15.000000000000002,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
42,25625,189,-77,4913,-989.9999999999999,-3873.9999999999995,20,0,2,4905,-1001,-3876.9999999999995,18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
43,26250,177,-93,4560,-74,-4444,20,0,2,4552,-76,-4445,17,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
