1,0,-23,16,-4890,925,3920,-18,-9,8,-4968,1024,3970.9999999999995,16,0,1,0,1,1,0,0,0,0,0,0,0
2,625,-18,19,-4470,-33,4470,-17,-8,9,-4512,-41,4576,15.000000000000002,0,1,0,1,1,0,0,0,0,0,0,0
3,1250,-18,22,-3871,-1049,4900,-18,-8,10,-3911,-1126,5059,15.000000000000002,0,1,0,1,1,0,0,0,0,0,0,0
4,1875,-13.999999999999998,25,-3046,-2109,5149,-16,-8,12,-3066,-2207,5296,11,0,1,0,1,1,0,0,0,0,0,0,0
5,2500,-12,25,-2102,-3019,5127,-12,-8,15,-2165,-3094,5278,10,0,1,0,1,1,0,0,0,0,0,0,0
6,3125,-10,24,-1243,-3718,4979,-12,-5,11,-1321,-3756,5091,5,0,1,0,1,1,0,0,0,0,0,0,0
7,3750,-2,22,-330,-4262,4621,-9,-3,11,-321,-4373,4703,1,0,1,0,1,1,0,0,0,0,0,0,0
8,4375,4,19,648,-4698,4091.0000000000005,-4,-1,11,730,-4880,4144,-6,0,1,0,1,1,0,0,0,0,0,0,0
9,5000,4,15,1718,-5033,3362,-3,2,10,1827,-5228,3385,-12,0,1,0,1,1,0,0,0,0,0,0,0
10,5625,11,13,2733,-5089,2410,2,4,11,2810,-5292,2457,-19,0,1,0,1,1,0,0,0,0,0,0,0
11,6250,13,11,3532,-4993,1520,4,6,9,3545,-5173,1594,-23,0,1,0,1,1,0,0,0,0,0,0,0
12,6875,17,6.999999999999999,4152,-4725,635,7,8,5,4171,-4883,668,-25,0,1,0,1,1,0,0,0,0,0,0,0
13,7500,20,0,4647,-4242,-344,9,10,3,4732,-4367,-410,-27,0,1,0,1,1,0,0,0,0,0,0,0
14,8125,21,-3,5025,-3587,-1380,11,10,1,5151,-3690,-1504,-26,0,1,0,1,1,0,0,0,0,0,0,0
15,8750,23,-9,5156,-2676,-2426,16,11,-2,5267,-2781,-2527,-24,0,1,0,1,1,0,0,0,0,0,0,0
16,9375,24,-10,5099,-1769,-3279,18,12,-1,5200,-1885,-3351,-17,0,1,0,1,1,0,0,0,0,0,0,0
17,10000,24,-13.999999999999998,4887,-910,-3933,19,11,-5,4964,-1012,-3982.0000000000005,-16,0,1,0,1,1,0,0,0,0,0,0,0
18,10625,19,-16,4464,48,-4476,18,11,-7,4502,56,-4584,-14,0,1,0,1,1,0,0,0,0,0,0,0
19,11250,19,-20,3865,1063,-4903,18,11,-8,3899,1139,-5064,-13,0,1,0,1,1,0,0,0,0,0,0,0
20,11875,13.999999999999998,-22,3036,2121,-5146,16,10,-9,3053,2219,-5294,-13,0,1,0,1,1,0,0,0,0,0,0,0
21,12500,13,-25,2093,3028,-5126,14,9,-12,2153,3103,-5273,-11,0,1,0,1,1,0,0,0,0,0,0,0
22,13125,11,-23,1231,3724,-4972,10,7,-10,1308,3763,-5085,-7,0,1,0,1,1,0,0,0,0,0,0,0
23,13750,3,-21,320,4271,-4616,10,4,-10,305,4383,-4695,-2,0,1,0,1,1,0,0,0,0,0,0,0
